系统/类别|应用名称|功能|URL Scheme
Windows系统设置|账户|连接工作或学校账户|ms-settings-workplace:
Windows系统设置|时间和语音|语言和区域设置|ms-settings-language:
Windows系统设置|时间和语音|日期和时间设置|ms-settings:dateandtime
Windows系统设置|隐私和安全性|位置设置|ms-settings-location:
Windows系统设置|隐私和安全性|隐私和安全性设置|ms-settings-privacy:
Windows系统设置|更新和安全|激活设置|ms-settings:activation
Windows系统设置|更新和安全|Windows更新|ms-settings:windowsupdate
Windows系统内置应用|记事本||ms-notepad:
Windows系统内置应用|计算器||ms-calculator:
Windows系统内置应用|照片||ms-photos:
Windows系统内置应用|电影和电视||mswindowsvideo:
Windows系统内置应用|媒体播放器||ms-media-player:
Windows系统内置应用|网络连接面板||ms-availablenetworks:
Windows系统内置应用|Windows小组件||ms-widgetboard:;ms-widgets:
Windows系统内置应用|Windows备份||ms-windowsbackup:
Windows系统内置应用|声音设置||ms-mmsys:
Windows系统内置应用|天气||msnweather:
Windows系统内置应用|任务视图||ms-taskswitcher:
Windows系统内置应用|Microsoft商店||ms-windows-store:
Windows系统内置应用|必应地图||bingmaps:
Windows系统内置应用|屏幕截图||ms-screenclip:
Windows系统内置应用|电子邮件|发送邮件|mailto:{email}
Windows系统内置应用|Microsoft Edge||microsoft-edge:
Windows系统内置应用|通知中心||ms-actioncenter:
Windows系统内置应用|Windows安全中心||windowsdefender:
Windows系统内置应用|资源管理器搜索||search:;search-ms:
Windows系统内置应用|Microsoft Office|Word|ms-word:
Windows系统内置应用|Microsoft Office|PowerPoint|ms-powerpoint:
Windows系统内置应用|Microsoft Office|Excel|ms-excel:
Windows系统内置应用|WSL设置||wsl-settings:
macOS系统内置应用|短信|发送短信|sms://{phone}
macOS系统内置应用|电话|拨打电话|tel://{phone}
macOS系统内置应用|邮件||message://
macOS系统内置应用|钱包||shoebox://
macOS系统内置应用|日历|日历查看|calshow://;ical://
macOS系统内置应用|日历|添加订阅|webcal://{link}
macOS系统内置应用|文件||shareddocuments://
macOS系统内置应用|查找||findmy://
macOS系统内置应用|股市||stocks://
macOS系统内置应用|视频||vedios://
macOS系统内置应用|天气||weather://
macOS系统内置应用|通讯录||addressbook://
macOS系统内置应用|提醒事项||x-apple-reminderkit://
macOS系统内置应用|反馈助理||applefeedback://
macOS系统内置应用|备忘录||mobilenotes://
macOS系统内置应用|相机||camera://
macOS系统内置应用|照片||photos-redirect://
macOS系统内置应用|音乐||music://
macOS系统内置应用|播客||pcast://
macOS系统内置应用|地图||https://maps.apple.com/?q={query}&daddr={destination}&saddr={source}
macOS系统内置应用|图书||ibooks://
macOS系统内置应用|FaceTime通话||facetime://
macOS系统内置应用|无边记||freeform://
macOS系统内置应用|设置||App-Prefs:root
macOS系统内置应用|iTunes Store||itms://
macOS系统内置应用|App Store||itms-apps://
macOS App Store|App Store|账户设置|itms-ui://
macOS App Store|App Store|打开App下载页|itms-apps://itunes.apple.com/app/{id}
macOS App Store|App Store|搜索|itms-apps://search.itunes.apple.com/WebObjects/MZSearch.woa/wa/search?media=software&term={query}
macOS App Store|App Store|兑换代码|itms-apps://apps.apple.com/redeem?code=
macOS App Store|App Store|搜索页|itms-apps://apps.apple.com/search
macOS App Store|App Store|更新页|itms-apps://apps.apple.com/updates
macOS App Store|App Store|Today页面|itms-apps://apps.apple.com/today
macOS App Store|App Store|App页面|itms-apps://apps.apple.com/apps
macOS App Store|App Store|游戏页面|itms-apps://apps.apple.com/games
macOS App Store|App Store|Arcade页面|itms-apps://apps.apple.com/arcade
macOS App Store|App Store|订阅管理|itms-apps://apps.apple.com/account/subscriptions
社交类|微信||weixin://
社交类|微信|扫一扫|weixin://scanqrcode
社交类|微信|付款码|weixin://widget/pay
社交类|QQ||mqq://;tencent://
社交类|QQ国际版||mqqiapi://
社交类|QQ国际版|扫一扫|mqqapi://qrcode/scan_qrcode?version=1&src_type=app
社交类|QQ国际版|用户主页|mqqapi://card/show_pslcard?src_type=internal&version=1&uin={uid}
社交类|知乎||zhihu://
社交类|知乎|扫一扫|zhihu://codereader
社交类|知乎|搜索|zhihu://search?q={query}
社交类|知乎|问题页面|zhihu://question/{qid}
社交类|小红书||xhsdiscover://
社交类|小红书|搜索页面|xhsdiscover://search/recommend
社交类|小红书|搜索|xhsdiscover://search/result?keyword={query}
社交类|小红书|扫一扫|xhsdiscover://scan
社交类|小红书|帖子|xhsdiscover://item/{postId}
社交类|小红书|用户主页|xhsdiscover://user/{uid}
社交类|新浪微博||weibo://
社交类|新浪微博|扫一扫|weibo://qrcode
社交类|新浪微博|搜索|weibo://searchall?q={query}
社交类|新浪微博|发微博|weibo://share?content={content}
社交类|新浪微博|用户主页|sinaweibo://userinfo?uid={uid}
社交类|微博国际版||weibointernational://
社交类|微博国际版|热搜|weibointernational://hotsearch
社交类|微博国际版|扫一扫|weibointernational://qrcode
社交类|微博国际版|搜索|weibointernational://searchall?q={query}
社交类|百度贴吧||com.baidu.tieba://
社交类|陌陌||momochat://
社交类|探探||tantanapp://
社交类|天涯社区||tianya://
社交类|豆瓣||douban://
社交类|豆瓣|搜索|douban:///search?q={query}
社交类|豆瓣|扫一扫|douban:///scan
社交类|即刻||jike://
社交类|Telegram||tg://
社交类|Telegram|发消息|tg://msg?to=@{id}&text={content}
社交类|Facebook||fb://
社交类|Facebook|扫一扫|fb://qrcode
社交类|Instagram||instagram://
社交类|Instagram|搜索|instagram://tag?name={query}
电商类|淘宝||taobao://
电商类|淘宝|搜索|taobao://s.taobao.com?q={query}
电商类|淘宝|指定店铺搜索|taobao://shopsearch.taobao.com/search?app=shopsearch&q={shopId}
电商类|淘宝|使用天猫搜索|taobao://list.tmall.com/search_product.htm?q={query}
电商类|淘宝|取件身份码|taobao://m.taobao.com/tbopen/index.html?h5Url=https://market.m.taobao.com/app/cn-yz/multi-activity/authCode.html
电商类|淘宝|打开指定店铺|taobao://shop.m.taobao.com/shop/shop_index.htm?shopId={店铺ID}
电商类|淘宝|扫一扫|taobao://tb.cn/n/scancode
电商类|天猫||tmall://
电商类|天猫|搜索|tmall://page.tm/search?q={query}
电商类|京东||openjd://
电商类|京东|扫一扫|openjd://virtual?params={"category":"jump","des":"saoasao"}
电商类|京东|付款码|openjd://virtual?params={"category":"jump","des":"jdpaymentcode"}
电商类|京东|搜索|openjd://virtual?params={"des":"productList","keyWord":"{query}","from":"search","category":"jump"}
电商类|京东|订单页面|openjd://virtual?params={"category":"jump","des":"orderlist"}
电商类|京东|订单保价|openjd://virtual?params={"category":"jump","des":"m","url":"https://msitepp-fm.jd.com/rest/priceprophone/priceProPhoneMenu?defaultViewTab=0"}
电商类|拼多多||pinduoduo://
电商类|拼多多|搜索|pinduoduo://yangkeduo.com/search_result.html?search_key={query}
电商类|网易考拉||kaola://
电商类|网易严选||yanxuan://
电商类|苏宁||suning://
电商类|小米商城||mishop1://
电商类|1688||wireless1688://
电商类|1号店||yhd://
电商类|唯品会||vipshop://
短视频类|抖音||snssdk1128://
电商类|抖音|网址搜索|snssdk1128://webview?url={url}&from=webview&refer=web
短视频类|抖音|用户主页|snssdk1128://user/profile/{uid}
短视频类|抖音|作品|snssdk1128://aweme/detail/{itemId}
短视频类|抖音|直播|snssdk1128://aweme/live/{roomId}
短视频类|抖音极速版||snssdk2329://
短视频类|抖音极速版|用户主页|snssdk2329://user/profile/{uid}
短视频类|抖音火山版||snssdk1112://
短视频类|抖音火山版|用户主页|snssdk1112://profile?id={uid}
短视频类|抖音火山版|作品|snssdk1112://item?id={itemId}
短视频类|抖音国际版||snssdk1233://
短视频类|抖音国际版|用户主页|snssdk1233://user/profile/{uid}
短视频类|快手||kwai://
短视频类|快手|扫一扫|kwai://qrscan
短视频类|快手|首页|kwai://home
短视频类|快手|游戏专区|kwai://gamezone/home
短视频类|快手|小剧场|kwai://tube/square
短视频类|快手|搜索|kwai://search?keyword={query}
短视频类|快手|网址搜索|kwai://webview?url={url}
短视频类|快手|用户主页|kwai://profile/{uid}
短视频类|快手|作品|kwai://work/{itemId}
短视频类|快手|直播|kwai://live/play/{roomId}
短视频类|快手|游戏|kwai://gamezone/game/{gameId}
短视频类|快手极速版||ksnebula://
短视频类|西瓜视频||snssdk32://
短视频类|西瓜视频|作品|snssdk32://detail?groupid={itemId}
短视频类|西瓜视频|直播|snssdk32://xigua_live?room_id={roomId}
短视频类|微视||weishi://
短视频类|微视|作品|weishi://feed?feed_id={itemId}
视频、直播类|腾讯视频||tenvideo://
视频、直播类|优酷||youku://
视频、直播类|哔哩哔哩||bilibili://
视频、直播类|哔哩哔哩|扫一扫|bilibili://qrcode
视频、直播类|哔哩哔哩|搜索|bilibili://search?keyword={query}
视频、直播类|哔哩哔哩|用户页面|bilibili://space/{uid}
视频、直播类|哔哩哔哩|主页|bilibili://home
视频、直播类|哔哩哔哩|推荐|bilibili://pegasus/promo
视频、直播类|哔哩哔哩|热门|bilibili://pegasus/hottopic
视频、直播类|哔哩哔哩|追番|bilibili://pgc/home
视频、直播类|哔哩哔哩|影视|bilibili://pgc/cinema-tab
视频、直播类|哔哩哔哩|个人中心|bilibili://user_center
视频、直播类|哔哩哔哩|历史记录|bilibili://user_center/history
视频、直播类|哔哩哔哩|稍后再看|bilibili://user_center/watch_later
视频、直播类|哔哩哔哩|设置|bilibili://user_center/setting
视频、直播类|哔哩哔哩|直播|bilibili://live/home
视频、直播类|哔哩哔哩|打开直播间|bilibili://live/{id}
视频、直播类|哔哩哔哩|我的收藏|bilibili://main/favorite
视频、直播类|哔哩哔哩|素材投稿|bilibili://uper/user_center/add_archive
视频、直播类|爱奇艺||iqiyi://
视频、直播类|爱奇艺|扫一扫|iqiyi://mobile/scan
视频、直播类|芒果TV||imgotv://
视频、直播类|PPTV||pptv://
视频、直播类|百度视频||bdviphapp://
视频、直播类|搜狐视频||sohuvideo://
视频、直播类|斗鱼TV||douyutv://
视频、直播类|虎牙||yykiwi://
视频、直播类|YouTube||youtube://
视频、直播类|YouTube|搜索|youtube://results?search_query={query}
办公类|企业微信||wxwork://
办公类|企业微信|扫一扫|wxwork://platformId=wechat&wwact=qrcode
办公类|企业微信|打开企业微信联系人|wxwork://message/?username=xxx
办公类|钉钉||dingtalk://
办公类|钉钉|扫一扫|dingtalk://dingtalkclient/page/scan
办公类|钉钉|个人信息|dingtalk://dingtalkclient/page/myProfile
办公类|TIM||tim://
办公类|TIM|扫一扫|tim://qrcode/scan_qrcode?version=1&src_type=app
办公类|腾讯会议||wemeet://
生活类|美团||imeituan://
生活类|美团|扫一扫|imeituan://www.meituan.com/scanQRCode?openAR=1
生活类|美团|搜索|imeituan://www.meituan.com/search?q={query}
生活类|美团|酒店搜索|imeituan://www.meituan.com/hotel/search?q={query}
生活类|美团|美团单车|imeituan://www.meituan.com/bike/scan
生活类|美团|美团打车|imeituan://www.meituan.com/cab/home
生活类|美团外卖||meituanwaimai://
生活类|美团外卖|搜索|meituanwaimai://waimai.meituan.com/search?query={query}
生活类|饿了么||eleme://
生活类|饿了么|扫一扫|eleme://code_scanner
生活类|大众点评||dianping://
生活类|大众点评|搜索|dianping://searchshoplist?keyword={query}
生活类|58同城||wbmain://
生活类|58同城|扫一扫|wbmain://jump/core/capture
生活类|菜鸟裹裹||cainiao://
生活类|菜鸟裹裹|身份码|cainiao://desktop/station_code
生活类|米家||mihome://
生活类|天气通||sinaweather://
生活类|墨迹天气||rm434209233MojiWeather://
资讯笔记类|今日头条||snssdk141://
资讯笔记类|今日头条|用户主页|snssdk141://profile?uid={uid}
资讯笔记类|掌阅iReader||iReader://
资讯笔记类|网易新闻||newsapp://
资讯笔记类|网易新闻|新闻|newsapp://doc/{postId}
资讯笔记类|腾讯新闻||qqnews://
资讯笔记类|微信读书||weread://
资讯笔记类|简书||jianshu://
资讯笔记类|快看漫画||kuaikan://
资讯笔记类|飞书||feishu://
资讯笔记类|飞书|扫一扫|feishu://applink.feishu.cn/client/qrcode/main
资讯笔记类|飞书|飞书妙记|feishu://applink.feishu.cn/minutes/home
资讯笔记类|飞书|考勤打卡|feishu://applink.feishu.cn/client/mini_program/open?appId=cli_9c21a4767c305107
资讯笔记类|飞书|日历页面|feishu://applink.feishu.cn/client/calendar/open
资讯笔记类|飞书|任务页面|feishu://applink.feishu.cn/client/todo/open
资讯笔记类|飞书|创建任务|feishu://applink.feishu.cn/client/todo/create
资讯笔记类|飞书|打开文档|https://applink.feishu.cn/client/docs/open?url={url}
资讯笔记类|飞书|聊天界面|feishu://applink.feishu.cn/client/chat/open?openId={openId}
资讯笔记类|有道云笔记||youdaonote://
资讯笔记类|印象笔记||evernote://
资讯笔记类|网易公开课||ntesopen://
音乐类|网易云音乐||orpheuswidget://
音乐类|网易云音乐|识别歌曲|orpheuswidget://recognize
音乐类|网易云音乐|已下载音乐|orpheuswidget://download
音乐类|QQ音乐||qqmusic://
音乐类|QQ音乐|识别音乐|qqmusic://qq.com/ui/recognize
音乐类|豆瓣FM||doubanradio://
音乐类|虾米音乐||xiami://
音乐类|虾米音乐|私人电台|xiami://radio/private
音乐类|虾米音乐|听歌识曲|xiami://soundhound
音乐类|百度音乐||baidumusic://
音乐类|酷狗音乐||kugouURL://
音乐类|喜马拉雅||iting://
出行类|高德地图||iosamap://
音乐类|高德地图|导航|iosamap://navi?sourceApplication=applicationName&poiname=目的地&poiid=BGVIS&lon=纬度&lat=经度
出行类|百度地图||baidumap://
出行类|腾讯地图||qqmap://
出行类|滴滴出行||diditaxi://
出行类|摩拜单车||mobike://
出行类|摩拜单车|扫码|mobike://scanqr
出行类|飞猪旅行||taobaotravel://
出行类|哈啰出行||hellobike://
出行类|哈啰出行|扫码|hellobike://hellobike.com/scan_qr
出行类|铁路12306||cn.12306://
出行类|马蜂窝||travelguide://
游戏类|王者荣耀||tencent1104466820://
游戏类|天天爱消除||tencent100689805://
理财支付类|招商银行||cmbmobilebank://
理财支付类|建设银行||wx2654d9155d70a468://
理财支付类|建行生活||loongpay://
理财支付类|工商银行||com.icbc.iphoneclient://
理财支付类|浦发银行||wx1cb534bb13ba3dbd://
理财支付类|360智慧生活||smarthome://
理财支付类|云闪付||upwallet://
理财支付类|云闪付|扫一扫|upwallet://native/scanCode
理财支付类|云闪付|付款码|upwallet://pay
理财支付类|云闪付|乘车码|upwallet://rn/rnhtmlridingcode
理财支付类|云闪付|信用卡还款|upwallet://rn/rncredit
理财支付类|支付宝||alipay://
理财支付类|支付宝|信用卡还款|alipays://platformapi/startapp?appId=09999999
理财支付类|支付宝|手机充值|alipay://platformapi/startapp?saId=10000003
理财支付类|支付宝|扫一扫|alipay://platformapi/startapp?saId=10000007
理财支付类|支付宝|账单|alipay://platformapi/startapp?appId=20000003
理财支付类|支付宝|登录|alipay://platformapi/startapp?appId=20000008
理财支付类|支付宝|银行卡|alipay://platformapi/startapp?appId=20000014
理财支付类|支付宝|余额|alipay://platformapi/startapp?appId=20000019
理财支付类|支付宝|切换账号|alipay://platformapi/startapp?appId=20000027
理财支付类|支付宝|余额宝|alipay://platformapi/startapp?appId=20000032
理财支付类|支付宝|付款码|alipay://platformapi/startapp?appId=20000056
理财支付类|支付宝|转账|alipay://platformapi/startapp?saId=20000116
理财支付类|支付宝|饿了么外卖|alipay://platformapi/startapp?appId=20000120
理财支付类|支付宝|收款码|alipay://platformapi/startapp?appId=20000123
理财支付类|支付宝|自选股|alipay://platformapi/startapp?appId=20000134
理财支付类|支付宝|会员|alipay://platformapi/startapp?appId=20000160
理财支付类|支付宝|理财|alipay://platformapi/startapp?appId=20000165
理财支付类|支付宝|通讯录|alipay://platformapi/startapp?appId=20000166
理财支付类|支付宝|记账|alipay://platformapi/startapp?appId=20000168
理财支付类|支付宝|生活缴费|alipay://platformapi/startapp?appId=20000193
理财支付类|支付宝|花呗|alipay://platformapi/startapp?appId=20000199
理财支付类|支付宝|黄金|alipay://platformapi/startapp?appId=20000218
理财支付类|支付宝|总资产|alipay://platformapi/startapp?appId=20000243
理财支付类|支付宝|创建群聊|alipays://platformapi/startapp?appId=20000254&actionType=createGroup
理财支付类|支付宝|快递查询|alipay://platformapi/startapp?appId=20000754
理财支付类|支付宝|滴滴出行|alipay://platformapi/startapp?appId=20000778
理财支付类|支付宝|基金|alipay://platformapi/startapp?appId=20000793
理财支付类|支付宝|支小宝|alipay://platformapi/startapp?appId=20000835
理财支付类|支付宝|充值中心|alipay://platformapi/startapp?appId=20000987
理财支付类|支付宝|搜索|alipay://platformapi/startapp?appId=20001003
理财支付类|支付宝|医保码|alipays://platformapi/startapp?appId=20002069
理财支付类|支付宝|乘车码|alipays://platformapi/startapp?appId=200011235
理财支付类|支付宝|蚂蚁森林|alipay://platformapi/startapp?appId=60000002
理财支付类|支付宝|商家服务|alipay://platformapi/startapp?appId=60000081
理财支付类|支付宝|共享单车|alipay://platformapi/startapp?appId=60000155
理财支付类|支付宝|蚂蚁庄园|alipay://platformapi/startapp?appId=66666674
理财支付类|支付宝|余利宝|alipay://platformapi/startapp?appId=66666708
理财支付类|支付宝|养老金|alipay://platformapi/startapp?appId=68687131
理财支付类|支付宝|发红包|alipays://platformapi/startapp?saId=88886666
理财支付类|支付宝|菜鸟小程序|alipays://platformapi/startapp?appId=2021001141626787
邮箱类|腾讯企业邮箱||qqbizmailDistribute2://
邮箱类|网易邮箱||neteasemail://
邮箱类|网易邮箱大师||mailmaster://
邮箱类|QQ邮箱||qqmail://
邮箱类|Gmail||googlegmail://
网盘类|百度网盘||baiduyun://;baiduyunguanjia://
网盘类|阿里云盘||aliyundrive://
输入法|搜狗输入法||com.sogou.sogouinput://
输入法|百度输入法||BaiduIMShop://
浏览器|Google Chrome||googlechrome://
浏览器|Google Chrome|网址搜索|googlechrome://{url}
浏览器|UC浏览器||ucbrowser://
浏览器|UC浏览器|网址搜索|ucbrowser://{url}
浏览器|QQ浏览器||mttbrowser://
浏览器|QQ浏览器|网址搜索|mqqbrowser://url={url}
浏览器|百度浏览器||bdbrowser://
浏览器|FireFox火狐浏览器||firefox://
浏览器|夸克浏览器||quark://
工具类|百度App||baiduboxapp://
工具类|多邻国||duolingo://
工具类|有道词典||yddict://
工具类|迅雷||thunder://
工具类|i茅台||moutaiapp://
工具类|同花顺||amihexin://
工具类|新浪财经||sinanews://
工具类|下厨房||xcfapp://
工具类|宝宝树||babytree://
工具类|Keep||keep://
工具类|Shadowrocket||shadowrocket://
工具类|Shadowrocket|添加订阅|shadowrocket://add/{url}
其他开发类桌面应用|Apifox||apifox://
其他开发类桌面应用|clash||clash://
其他开发类桌面应用|OpenVPN Connect||openvpn://
其他开发类桌面应用|SourceTree||sourcetree://
其他开发类桌面应用|XMind||xmind://
其他开发类桌面应用|uTools||utools://
其他开发类桌面应用|WebStorm||webstorm://
其他开发类桌面应用|Intellij IDEA||idea://
